Name,Abbrev
Abaddon,ybd
Alchemist,lj
Ancient Apparition, 
Anti-Mage,df
Arc Warden,tq
Axe,fw
Bane,hl
Batrider,bf
Beastmaster,bm sw
Bloodseeker,bs xm
Bounty Hunter,bh sj
Brewmaster,xm jx
Bristleback,bb
Broodmother,zz
Centaur Warrunner,rm
Chaos Knight,ck
Chen, 
Clinkz,xkl
Clockwerk,ft
Crystal Maiden,bn
Dark Seer,hx tz
Dark Willow,xxn
Dazzle,dz
Dawnbreaker,dc
Death Prophet,dp swxz
Disruptor,grz
Doom,mr
Dragon Knight, 
Drow Ranger,xh
Earth Spirit,tm
Earthshaker, 
Elder Titan,dn sgjs
Ember Spirit,hm
Enchantress,xl
Enigma,mt
Faceless Void, fv
Grimstroke,tymk
Gyrocopter,fj arzsj
Hoodwink,xss
Huskar,hsk
Invoker,qqz
Io,xjl
Jakiro,stl jql
Juggernaut,js
Keeper of the Light, 
Kunkka,cz
Legion Commander,jt
Leshrac,lxk ll
Lich,wy
Lifestealer,xg shg
Lina, 
Lion,le
Lone Druid,dly
Luna,ln
Lycan,lr
Magnus,mm
Mars,mes
Marci,mx
Medusa,mds
Meepo,mb
Mirana,pom mln
Monkey King, 
Morphling,sr
Muerta,qybl nl
Naga Siren,xnj
Nature's Prophet,xz
Necrophos,slf
Night Stalker,ym
Nyx Assassin,xq
Ogre Magi,lpz
Omniknight,qnqs
Oracle,syz
Outworld Destroyer,hn
Pangolier,gg
Phantom Assassin,pa
Phantom Lancer,hz
Phoenix,fh
Primal Beast,shou
Puck,pk
Pudge,pj tf
Pugna,gf
Queen of Pain,nw
Razor,lz dh
Riki,lw
Rubick,lbk
Sand King,sk
Shadow Demon,sd dg ayem
Shadow Fiend, 
Shadow Shaman,xy sm
Silencer, 
Skywrath Mage,tnfs
Slardar,dyr
Slark, 
Snapfire,lnn
Sniper,hq
Spectre,ug
Spirit Breaker,sb
Storm Spirit,lm
Sven, 
Techies,zdr
Templar Assassin,ta stck
Terrorblade,tb kblr
Tidehunter,cxlr
Timbersaw,fmj
Tinker,tk xbj
Tiny,xx
Treant Protector,sjws ds
Troll Warlord,jmzj
Tusk,jyhm
Underlord,dpg nz
Undying, ud
Ursa,ppx
Vengeful Spirit,vs fczh
Venomancer,jdss
Viper,mjyl dl
Visage,sll
Void Spirit,zm
Warlock,ss
Weaver,bzz my
Windranger,fxz
Winter Wyvern,bl
Witch Doctor, 
Wraith King,llw mhdd
Zeus,zs
